sample_id,combo,camera_source,motion_source,camera_focal_l1_mean,camera_principal_l1_mean,camera_rotation_deg_max,camera_rotation_deg_mean,camera_translation_l2_max,camera_translation_l2_mean,joint_velocity_l2_mean,mpjpe_max,mpjpe_mean,num_frames,projection_onscreen_fraction,projection_positive_depth_fraction,projection_visible_fraction,projection_xy_l2_mean_px,projection_xy_l2_visible_mean_px,rifke_l1_mean,rifke_l2_frame_mean,root_joint_l2_max,root_joint_l2_mean,root_velocity_l2_mean
2012_EP6Qb7rzBmA_00022_001_a,gt_camera+gt_motion,gt,gt,0.0,0.0,0.03956468030810356,0.015196755528450012,0.0,0.0,0.0,0.0,0.0,40,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012_EP6Qb7rzBmA_00022_001_a,vae_camera+gt_motion,vae,gt,0.0,0.0,5.001944065093994,0.7560430765151978,0.24108847975730896,0.015911048278212547,0.0,0.0,0.0,40,0.4431818181818182,1.0,1.0,20.266298294067383,20.266298294067383,0.0,0.0,0.0,0.0,0.0
2012_EP6Qb7rzBmA_00022_001_a,gt_camera+vae_motion,gt,vae,0.0,0.0,0.03956468030810356,0.015196755528450012,0.0,0.0,0.01299439836293459,0.28765055537223816,0.0814516469836235,40,0.3931818181818182,1.0,1.0,45.270973205566406,45.270973205566406,0.016060153022408485,0.3349701464176178,0.14258421957492828,0.07712401449680328,0.010948455892503262
2012_EP6Qb7rzBmA_00022_001_a,vae_camera+vae_motion,vae,vae,0.0,0.0,5.001944065093994,0.7560430765151978,0.24108847975730896,0.015911048278212547,0.01299439836293459,0.28765055537223816,0.0814516469836235,40,0.4125,1.0,1.0,46.05528259277344,46.05528259277344,0.016060153022408485,0.3349701464176178,0.14258421957492828,0.07712401449680328,0.010948455892503262
2012_EP6Qb7rzBmA_00022_001_a,pulp_camera+gt_motion,pulp,gt,27.59026527404785,0.0,8.031281471252441,1.3782024383544922,0.07235478609800339,0.050346970558166504,0.0,0.0,0.0,40,0.39545454545454545,1.0,1.0,37.08888626098633,37.08888626098633,0.0,0.0,0.0,0.0,0.0
2012_EP6Qb7rzBmA_00022_001_a,gt_camera+pulp_motion,gt,pulp,0.0,0.0,0.03956468030810356,0.015196755528450012,0.0,0.0,0.010055719874799252,0.24810674786567688,0.05190825089812279,40,0.4068181818181818,1.0,1.0,32.74641799926758,32.74641799926758,0.016403229907155037,0.5309098958969116,0.14397688210010529,0.04523707926273346,0.0072499713860452175
2012_EP6Qb7rzBmA_00022_001_a,pulp_camera+pulp_motion,pulp,pulp,27.59026527404785,0.0,8.031281471252441,1.3782024383544922,0.07235478609800339,0.050346970558166504,0.010055719874799252,0.24810674786567688,0.05190825089812279,40,0.40795454545454546,1.0,1.0,28.74686622619629,28.74686622619629,0.016403229907155037,0.5309098958969116,0.14397688210010529,0.04523707926273346,0.0072499713860452175
2017_H1TQv3qA7PI_00018_001_a,gt_camera+gt_motion,gt,gt,0.0,0.0,0.03956468030810356,0.006194733083248138,0.0,0.0,0.0,0.0,0.0,76,0.5604066985645934,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017_H1TQv3qA7PI_00018_001_a,vae_camera+gt_motion,vae,gt,0.0,0.0,18.43780517578125,10.261199951171875,0.2911369502544403,0.06904321908950806,0.0,0.0,0.0,76,0.7344497607655502,1.0,1.0,125.24002075195312,125.24002075195312,0.0,0.0,0.0,0.0,0.0
2017_H1TQv3qA7PI_00018_001_a,gt_camera+vae_motion,gt,vae,0.0,0.0,0.03956468030810356,0.006194733083248138,0.0,0.0,0.06718825548887253,3.695239305496216,2.4648749828338623,76,0.2876794258373206,1.0,1.0,198.71287536621094,198.71287536621094,0.026462577283382416,0.5482367277145386,3.5832290649414062,2.524900436401367,0.06433882564306259
2017_H1TQv3qA7PI_00018_001_a,vae_camera+vae_motion,vae,vae,0.0,0.0,18.43780517578125,10.261199951171875,0.2911369502544403,0.06904321908950806,0.06718825548887253,3.695239305496216,2.4648749828338623,76,0.8444976076555024,1.0,1.0,190.5282440185547,190.5282440185547,0.026462577283382416,0.5482367277145386,3.5832290649414062,2.524900436401367,0.06433882564306259
2017_H1TQv3qA7PI_00018_001_a,pulp_camera+gt_motion,pulp,gt,16.362749099731445,0.0,13.120975494384766,2.262852430343628,0.4283874034881592,0.39892128109931946,0.0,0.0,0.0,76,0.541267942583732,1.0,1.0,194.49229431152344,194.49229431152344,0.0,0.0,0.0,0.0,0.0
2017_H1TQv3qA7PI_00018_001_a,gt_camera+pulp_motion,gt,pulp,0.0,0.0,0.03956468030810356,0.006194733083248138,0.0,0.0,0.042910266667604446,0.7306767702102661,0.24298276007175446,76,0.5376794258373205,1.0,1.0,110.49539947509766,110.49539947509766,0.03002101555466652,0.9054826498031616,0.3273365795612335,0.23603133857250214,0.029086701571941376
