baseline,family,layer,fid_metric,fid,top1,top2,top3,matching,diversity,multimodality,metrics_summary
MotionGPT,SA,10,FID,0.2098885029554367,0.413362056016922,0.5790948271751404,0.6685344576835632,3.9976956844329834,9.402414321899414,3.435245990753174,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_10_20260605_gpu1/metrics_summary.json
MotionGPT,SA,11,FID,0.19832970201969147,0.401508629322052,0.571767270565033,0.6642241477966309,4.003922462463379,9.096490859985352,3.392747640609741,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_sa_layer_11_20260605_gpu1/metrics_summary.json
MotionGPT,baseline,NA,FID,0.194480761885643,0.399137943983078,0.5724138021469116,0.6564655303955078,4.033839225769043,9.432705879211426,3.47906231880188,/data/public/ripemangobox/Motion/experiments/MoDebug/motiongpt/formal_candidates/trace1_full_eval_baseline_20260605_gpu0/metrics_summary.json
MoLingo,baseline,NA,FID_TMR,3.5943905307734667,0.7755474452554745,0.9026003649635036,0.9402372262773723,14.740090411944982,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/baseline/metrics_summary.json
MoLingo,CA,5,FID_TMR,3.6773403134477576,0.7723540145985401,0.9030565693430657,0.9432025547445255,14.72528277348428,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/ca/layer_5/metrics_summary.json
MoLingo,CA,10,FID_TMR,3.652792994134984,0.7748631386861314,0.90625,0.9445711678832117,14.70953560571601,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/ca/layer_10/metrics_summary.json
MoLingo,CA,15,FID_TMR,3.8731718485385045,0.7675638686131386,0.896213503649635,0.9363594890510949,15.007070924243788,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/ca/layer_15/metrics_summary.json
MoLingo,CFG_CA,5,FID_TMR,3.756561462499576,0.7755474452554745,0.9000912408759124,0.9400091240875912,14.721969165941225,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/cfg_ca/layer_5/metrics_summary.json
MoLingo,CFG_CA,10,FID_TMR,3.6466030471685826,0.7675638686131386,0.9010036496350365,0.9418339416058394,14.757290283258815,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/cfg_ca/layer_10/metrics_summary.json
MoLingo,CFG_CA,15,FID_TMR,7.700287778906272,0.7239963503649635,0.8690693430656934,0.9165145985401459,15.738053600283434,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_ca_cfg_ca_official_20260609_gpu0/cfg_ca/layer_15/metrics_summary.json
MoLingo,SA,5,FID_TMR,3.50852084194662,0.7755474452554745,0.9026003649635036,0.9411496350364964,14.758468460862654,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_sa_cfg_sa_official_20260609_gpu1/sa/layer_5/metrics_summary.json
MoLingo,SA,10,FID_TMR,3.562138136117369,0.781934306569343,0.9021441605839416,0.9452554744525548,14.685166108347204,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_sa_cfg_sa_official_20260609_gpu1/sa/layer_10/metrics_summary.json
MoLingo,SA,15,FID_TMR,4.448666590844823,0.7780565693430657,0.9032846715328468,0.9438868613138686,14.629016194030315,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_sa_cfg_sa_official_20260609_gpu1/sa/layer_15/metrics_summary.json
MoLingo,CFG_SA,5,FID_TMR,3.5982256649459714,0.7760036496350365,0.9007755474452555,0.9406934306569343,14.731645312622517,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_sa_cfg_sa_official_20260609_gpu1/cfg_sa/layer_5/metrics_summary.json
MoLingo,CFG_SA,10,FID_TMR,3.739373604124239,0.7771441605839416,0.9032846715328468,0.9443430656934306,14.693658800890846,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_sa_cfg_sa_official_20260609_gpu1/cfg_sa/layer_10/metrics_summary.json
MoLingo,CFG_SA,15,FID_TMR,4.552664635616566,0.7673357664233577,0.8923357664233577,0.9354470802919708,14.785807282385164,,,/data/public/ripemangobox/Motion/experiments/MoDebug/molingo/formal_candidates/trace1_full_eval_sa_cfg_sa_official_20260609_gpu1/cfg_sa/layer_15/metrics_summary.json
