baseline,family,layer,fid_metric,fid,top1,top2,top3,matching,diversity,multimodality,metrics_summary
MotionCLR,CFG_CA,4,FID,0.1203,0.4375,0.6414,0.7562,3.4281,8.4273,2.3514,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_4/metrics_summary.json
MotionCLR,CFG_CA,5,FID,0.1198,0.4384,0.6446,0.7547,3.4277,8.4303,2.3525,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_5/metrics_summary.json
MotionCLR,CFG_CA,6,FID,0.1257,0.4442,0.6444,0.756,3.4193,8.4656,2.3589,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_6/metrics_summary.json
MotionCLR,CFG_CA,7,FID,0.1259,0.4442,0.6448,0.7565,3.419,8.4652,2.3567,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_7/metrics_summary.json
MotionCLR,CFG_CA,8,FID,0.1251,0.4405,0.6453,0.756,3.4221,8.4715,2.3608,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_8/metrics_summary.json
MotionCLR,CFG_CA,9,FID,0.1246,0.4416,0.6448,0.755,3.4244,8.4665,2.362,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_9/metrics_summary.json
MotionCLR,CFG_CA,10,FID,0.1304,0.4356,0.6429,0.7543,3.4301,8.4306,2.3577,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_10/metrics_summary.json
MotionCLR,CFG_CA,11,FID,0.1397,0.4379,0.6433,0.7539,3.4223,8.4619,2.3613,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_11/metrics_summary.json
MotionCLR,CFG_CA,12,FID,1.3161,0.3328,0.5114,0.6276,4.1692,8.0525,2.8043,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_12/metrics_summary.json
MotionCLR,CFG_CA,13,FID,1.1376,0.3351,0.5192,0.6304,4.1258,8.2147,2.8207,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_13/metrics_summary.json
MotionCLR,CFG_CA,14,FID,4.4429,0.0664,0.1196,0.1694,7.6567,7.4408,6.8575,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_14/metrics_summary.json
MotionCLR,CFG_CA,15,FID,3.3691,0.0317,0.0659,0.0996,8.7121,7.2198,7.6506,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_15/metrics_summary.json
MotionCLR,CFG_CA,16,FID,0.1265,0.4433,0.6455,0.7554,3.4192,8.4729,2.3609,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_16/metrics_summary.json
MotionCLR,CFG_CA,17,FID,0.1266,0.4431,0.6448,0.7567,3.4181,8.474,2.3565,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_ca_cfg_ca_ds_review_20260605_gpu0/cfg_ca/layer_17/metrics_summary.json
MotionCLR,CFG_SA,0,FID,0.1268,0.4437,0.6435,0.7562,3.4182,8.4674,2.3566,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_0/metrics_summary.json
MotionCLR,CFG_SA,1,FID,0.1633,0.4446,0.6468,0.7524,3.4281,8.5691,2.3764,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_1/metrics_summary.json
MotionCLR,CFG_SA,2,FID,0.1251,0.4394,0.6474,0.7547,3.4325,8.4729,2.3917,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_2/metrics_summary.json
MotionCLR,CFG_SA,3,FID,0.1114,0.4405,0.6481,0.7558,3.4362,8.4486,2.4025,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_3/metrics_summary.json
MotionCLR,CFG_SA,4,FID,0.1271,0.4429,0.6433,0.7575,3.4177,8.4759,2.3593,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_4/metrics_summary.json
MotionCLR,CFG_SA,5,FID,0.1267,0.4418,0.6446,0.7578,3.417,8.4793,2.359,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_5/metrics_summary.json
MotionCLR,CFG_SA,6,FID,0.1265,0.4433,0.6446,0.7578,3.4184,8.4656,2.3615,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_6/metrics_summary.json
MotionCLR,CFG_SA,7,FID,0.127,0.4444,0.6442,0.7573,3.4186,8.467,2.3586,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_7/metrics_summary.json
MotionCLR,CFG_SA,8,FID,0.1273,0.4431,0.6438,0.7573,3.4179,8.4627,2.3522,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_8/metrics_summary.json
MotionCLR,CFG_SA,9,FID,0.1256,0.442,0.6438,0.7558,3.4191,8.4662,2.3609,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_9/metrics_summary.json
MotionCLR,CFG_SA,10,FID,0.1264,0.4416,0.6422,0.7552,3.4235,8.4692,2.373,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_10/metrics_summary.json
MotionCLR,CFG_SA,11,FID,0.1198,0.4418,0.6416,0.755,3.4144,8.4625,2.3691,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_11/metrics_summary.json
MotionCLR,CFG_SA,12,FID,0.2108,0.4444,0.6478,0.7532,3.4022,8.5476,2.3321,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_12/metrics_summary.json
MotionCLR,CFG_SA,13,FID,0.1938,0.4338,0.6293,0.7366,3.4999,8.4258,2.3133,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_13/metrics_summary.json
MotionCLR,CFG_SA,14,FID,0.2728,0.4211,0.6254,0.7345,3.4853,8.4618,2.4248,/data/public/ripemangobox/Motion/experiments/MoDebug/motionclr/formal_candidates/trace1_full_eval_sa_cfg_sa_ds_review_20260605_gpu1/cfg_sa/layer_14/metrics_summary.json
