variant,step,step_of_10,matching_score,top1,top2,top3,fid,diversity,multimodality
ground truth,,,3.6004,0.4162,0.6144,0.7209,0.0023,7.8971,
text2motion_dso_step_01_of_10,1.0000,0.1000,7.3553,0.0433,0.0821,0.1157,28.3106,2.0259,1.6334
text2motion_dso_step_04_of_10,4.0000,0.4000,7.1321,0.0709,0.1274,0.1774,27.2832,2.2507,1.6803
text2motion_dso_step_07_of_10,7.0000,0.7000,3.5191,0.4317,0.6315,0.7414,0.1703,7.8124,2.1266
text2motion_dso_step_10_of_10,10.0000,1.0000,3.4492,0.4496,0.6476,0.7517,0.1184,8.5941,2.2914
