state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,B,TokenHMR Advancing Human Mesh Recovery with a Tokenized Pose Representation,CVPR 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/CVPR_2024/2024_TokenHMR_Advancing_Human_Mesh_Recovery_with_a_Tokenized_Pose_Representation.pdf
Downloaded,B,WHAM Reconstructing World grounded Humans with Accurate 3D Motion,CVPR 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/CVPR_2024/2024_WHAM_Reconstructing_World_grounded_Humans_with_Accurate_3D_Motion.pdf
Downloaded,B,MEGA Masked Generative Autoencoder for Human Mesh Recovery,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/CVPR_2025/2025_MEGA_Masked_Generative_Autoencoder_for_Human_Mesh_Recovery.pdf
Downloaded,B,SODA4MER Dynamic Stereotype Theory Induced Micro expression Recognition with Oriented Deformation,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/CVPR_2025/2025_SODA4MER_Dynamic_Stereotype_Theory_Induced_Micro_expression_Recognition_with_Oriented_Deformation.pdf
Downloaded,B,WiLoR End to end 3D Hand Localization and Reconstruction in the Wild,CVPR 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/CVPR_2025/2025_WiLoR_End_to_end_3D_Hand_Localization_and_Reconstruction_in_the_Wild.pdf
Downloaded,B,Sapiens Foundation for Human Vision Models,ECCV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/ECCV_2024/2024_Sapiens_Foundation_for_Human_Vision_Models.pdf
Downloaded,B,TRAM Global Trajectory and Motion of 3D Humans from in the wild Videos,ECCV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/ECCV_2024/2024_TRAM_Global_Trajectory_and_Motion_of_3D_Humans_from_in_the_wild_Videos.pdf
Downloaded,B,QuaMo Quaternion Motions for Vision based 3D Human Kinematics Capture,ICLR 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/ICLR_2026/2026_QuaMo_Quaternion_Motions_for_Vision_based_3D_Human_Kinematics_Capture.pdf
Downloaded,B,Zero shot Gesture Movement Recognition,ICLR 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/ICLR_2026/2026_Zero_shot_Gesture_Movement_Recognition.pdf
Downloaded,B,3D MuPPET 3D Multi Pigeon Pose Estimation and Tracking,IJCV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/IJCV_2024/2024_3D_MuPPET_3D_Multi_Pigeon_Pose_Estimation_and_Tracking.pdf
Downloaded,B,AC4AU Regulatory Focus Micro Expression Analysis,MM 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/MM_2025/2025_AC4AU_Regulatory_Focus_Micro_Expression_Analysis.pdf
Downloaded,B,GVHMR World Grounded Human Motion Recovery via Gravity View Coordinates,SIGGRAPH_Asia_2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/SIGGRAPH_Asia_2024/2024_GVHMR_World_Grounded_Human_Motion_Recovery_via_Gravity_View_Coordinates.pdf
Downloaded,B,SMPLer Taming Transformers for Monocular 3D Human Shape and Pose Estimation,TPAMI 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/TPAMI_2024/2024_SMPLer_Taming_Transformers_for_Monocular_3D_Human_Shape_and_Pose_Estimation.pdf
Downloaded,B,SMPLest X Ultimate Scaling for Expressive Human Pose and Shape Estimation,TPAMI 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/TPAMI_2025/2025_SMPLest_X_Ultimate_Scaling_for_Expressive_Human_Pose_and_Shape_Estimation.pdf
Downloaded,B,DiffME Component Process Model Induced Controllable Micro Expression Generation,unknown 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/unknown_2026/2026_DiffME_Component_Process_Model_Induced_Controllable_Micro_Expression_Generation.pdf
Downloaded,B,DiffMesh A Motion Aware Diffusion Framework for Human Mesh Recovery from Videos,WACV 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Perception/WACV_2025/2025_DiffMesh_A_Motion_Aware_Diffusion_Framework_for_Human_Mesh_Recovery_from_Videos.pdf
Downloaded,B,ArtiGrasp Physically Plausible Synthesis of Bi Manual Dexterous Grasping and Articulation,3DV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2024/2024_ArtiGrasp_Physically_Plausible_Synthesis_of_Bi_Manual_Dexterous_Grasping_and_Articulation.pdf
Downloaded,B,GRIP Generating Interaction Poses Using Spatial Cues and Latent Consistency,3DV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2024/2024_GRIP_Generating_Interaction_Poses_Using_Spatial_Cues_and_Latent_Consistency.pdf
Downloaded,B,InterScene Synthesizing Physically Plausible Human Motions in 3D Scenes,3DV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2024/2024_InterScene_Synthesizing_Physically_Plausible_Human_Motions_in_3D_Scenes.pdf
Downloaded,B,MACS Mass Conditioned 3D Hand and Object Motion Synthesis,3DV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2024/2024_MACS_Mass_Conditioned_3D_Hand_and_Object_Motion_Synthesis.pdf
Downloaded,B,Physically Plausible Full Body Hand Object Interaction Synthesis,3DV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2024/2024_Physically_Plausible_Full_Body_Hand_Object_Interaction_Synthesis.pdf
Downloaded,B,Purposer Putting Human Motion Generation in Context,3DV 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2024/2024_Purposer_Putting_Human_Motion_Generation_in_Context.pdf
Downloaded,B,3D Whole body Grasp Synthesis with Directional Controllability,3DV 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2025/2025_3D_Whole_body_Grasp_Synthesis_with_Directional_Controllability.pdf
Downloaded,B,Interactive Humanoid Online Full Body Motion Reaction Synthesis with Social Affordance Canonicalization and Forecasting,3DV 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/3DV_2025/2025_Interactive_Humanoid_Online_Full_Body_Motion_Reaction_Synthesis_with_Social_Affordance_Canonicalization_and_Forecasting.pdf
Downloaded,B,FAVOR Full Body AR driven Virtual Object Rearrangement Guided by Instruction Text,AAAI 2024,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/AAAI_2024/2024_FAVOR_Full_Body_AR_driven_Virtual_Object_Rearrangement_Guided_by_Instruction_Text.pdf
