case_index,model_label,sample_outcome,sample_id,frame_index,delta_l2
3,MoLingo,failure,hml_orig100_train_002__full,24,42.0388719794
3,MoLingo,failure,hml_orig100_train_002__full,25,41.9684877280
3,MoLingo,failure,hml_orig100_train_002__full,26,41.8696827565
3,MoLingo,failure,hml_orig100_train_002__full,27,41.7318301925
3,MoLingo,failure,hml_orig100_train_002__full,28,41.5573580960
3,MoLingo,failure,hml_orig100_train_002__full,29,41.3360949915
3,MoLingo,failure,hml_orig100_train_002__full,30,41.0874871357
3,MoLingo,failure,hml_orig100_train_002__full,31,40.7995982077
3,MoLingo,failure,hml_orig100_train_002__full,32,40.4890605532
3,MoLingo,failure,hml_orig100_train_002__full,33,40.1436717171
3,MoLingo,failure,hml_orig100_train_002__full,34,39.6888765037
3,MoLingo,failure,hml_orig100_train_002__full,35,39.2687936871
3,MoLingo,failure,hml_orig100_train_002__full,36,38.9369667390
3,MoLingo,failure,hml_orig100_train_002__full,37,38.6541092830
3,MoLingo,failure,hml_orig100_train_002__full,38,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,39,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,40,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,41,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,42,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,43,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,44,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,45,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,46,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,47,0.0000000000
3,MoLingo,failure,hml_orig100_train_002__full,48,0.0000000000
4,MoMask original,success,hml_orig100_train_003__full,0,261.4763724382
4,MoMask original,success,hml_orig100_train_003__full,1,283.9979117684
4,MoMask original,success,hml_orig100_train_003__full,2,293.5300473128
4,MoMask original,success,hml_orig100_train_003__full,3,298.0609515654
4,MoMask original,success,hml_orig100_train_003__full,4,307.9537207373
4,MoMask original,success,hml_orig100_train_003__full,5,321.3596045168
4,MoMask original,success,hml_orig100_train_003__full,6,323.3777152374
4,MoMask original,success,hml_orig100_train_003__full,7,321.4220968908
4,MoMask original,success,hml_orig100_train_003__full,8,324.4682064066
4,MoMask original,success,hml_orig100_train_003__full,9,328.1707444332
4,MoMask original,success,hml_orig100_train_003__full,10,330.0359929135
4,MoMask original,success,hml_orig100_train_003__full,11,321.8439300905
4,MoMask original,success,hml_orig100_train_003__full,12,300.8145934114
4,MoMask original,success,hml_orig100_train_003__full,13,277.9884339622
4,MoMask original,success,hml_orig100_train_003__full,14,264.1918054336
4,MoMask original,success,hml_orig100_train_003__full,15,256.8112625943
4,MoMask original,success,hml_orig100_train_003__full,16,252.6574822437
4,MoMask original,success,hml_orig100_train_003__full,17,247.8268926919
4,MoMask original,success,hml_orig100_train_003__full,18,245.0320101172
4,MoMask original,success,hml_orig100_train_003__full,19,252.5267632401
4,MoMask original,success,hml_orig100_train_003__full,20,254.4534629520
4,MoMask original,success,hml_orig100_train_003__full,21,249.7321968036
4,MoMask original,success,hml_orig100_train_003__full,22,265.0407575740
5,MoMask original,failure,hml_orig100_train_001__full,0,266.1955734688
5,MoMask original,failure,hml_orig100_train_001__full,1,286.3692739486
5,MoMask original,failure,hml_orig100_train_001__full,2,310.5337346759
5,MoMask original,failure,hml_orig100_train_001__full,3,334.2534836514
5,MoMask original,failure,hml_orig100_train_001__full,4,346.8649901818
5,MoMask original,failure,hml_orig100_train_001__full,5,351.2020105095
5,MoMask original,failure,hml_orig100_train_001__full,6,351.0731686251
5,MoMask original,failure,hml_orig100_train_001__full,7,346.2642649458
5,MoMask original,failure,hml_orig100_train_001__full,8,338.8023481314
5,MoMask original,failure,hml_orig100_train_001__full,9,331.5336539453
5,MoMask original,failure,hml_orig100_train_001__full,10,328.4319107838
5,MoMask original,failure,hml_orig100_train_001__full,11,326.9851388070
5,MoMask original,failure,hml_orig100_train_001__full,12,325.6049160129
5,MoMask original,failure,hml_orig100_train_001__full,13,324.9763419952
