date	experiment_path	evaluator	protocol	data_source	condition_pair	prompt_pair	n/evaluable	coverage	role	used_for	limitations	encoder_alias	encoder_label	p1_finite	p1_total	m0_finite	m0_total
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_finite_coverage_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/m0_condition_embedding_distance.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate	not_applicable; full/drop; full/replace; full/shuffle; full/repeat	full/single_event; not_applicable	见同目录 compact TSV 与 run_summary.json	Finite coverage by encoder for P1 and M0 text embedding metrics.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	clip_vit_b32	CLIP ViT-B/32	30	30	72	72
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_finite_coverage_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/m0_condition_embedding_distance.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate	not_applicable; full/drop; full/replace; full/shuffle; full/repeat	full/single_event; not_applicable	见同目录 compact TSV 与 run_summary.json	Finite coverage by encoder for P1 and M0 text embedding metrics.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	distilbert_base_uncased_mean	DistilBERT	30	30	72	72
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_finite_coverage_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/m0_condition_embedding_distance.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate	not_applicable; full/drop; full/replace; full/shuffle; full/repeat	full/single_event; not_applicable	见同目录 compact TSV 与 run_summary.json	Finite coverage by encoder for P1 and M0 text embedding metrics.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	flan_t5_base_mean	FLAN-T5 base	30	30	72	72
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_finite_coverage_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/m0_condition_embedding_distance.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate	not_applicable; full/drop; full/replace; full/shuffle; full/repeat	full/single_event; not_applicable	见同目录 compact TSV 与 run_summary.json	Finite coverage by encoder for P1 and M0 text embedding metrics.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	qwen3_32b_mean	Qwen3-32B	11	30	8	72
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_finite_coverage_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/m0_condition_embedding_distance.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate	not_applicable; full/drop; full/replace; full/shuffle; full/repeat	full/single_event; not_applicable	见同目录 compact TSV 与 run_summary.json	Finite coverage by encoder for P1 and M0 text embedding metrics.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	t5_base_mean	T5 base	30	30	72	72
2026-05-18	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	text_embedding_ext_finite_coverage_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/p1_full_single_embedding_similarity.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding/m0_condition_embedding_distance.tsv; paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/eval/text_embedding_ext/run_20260517_l40_multiscale/aggregate	not_applicable; full/drop; full/replace; full/shuffle; full/repeat	full/single_event; not_applicable	见同目录 compact TSV 与 run_summary.json	Finite coverage by encoder for P1 and M0 text embedding metrics.	diagnostic	observation	Text-side pooled embedding diagnostic only; not generator propagation, motion correctness, or final evaluator evidence.	t5_large_mean	T5 large	30	30	72	72
