status	path	source_url	original_logged_bytes	overcompressed_bytes	downloaded_bytes	final_bytes	method	reason
download_failed	obsidian-vault/paperPDFs/SIGGRAPH_2025/Optimal_r_Adaptive_In_Timestep_Remeshing_for_Elastodynamics.pdf	https://s2025.conference-schedule.org/presentation/?id=papers_1036&sess=sess147	289762206	2486425				https://s2025.conference-schedule.org/presentation/?id=papers_1036&sess=sess147: html no direct pdf yet
download_failed	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/PhysiOpt_Physics_Driven_Shape_Optimization_for_3D_Generative_Models.pdf	https://doi.org/10.1145/3757377.3763884	149362074	1753914				https://dl.acm.org/doi/pdf/10.1145/3757377.3763884: HTTPError: HTTP Error 403: Forbidden; https://dl.acm.org/doi/pdf/10.1145/3757377.3763884?download=true: HTTPError: HTTP Error 403: Forbidden; https://doi.org/10.1145/3757377.3763884: HTTPError: HTTP Error 403: Forbidden
download_failed	obsidian-vault/paperPDFs/SIGGRAPH_2023/Computational_Exploration_of_Multistable_Elastic_Knots.pdf	https://infoscience.epfl.ch/record/302408	146118726	2256145				https://infoscience.epfl.ch/record/302408: HTTPError: HTTP Error 405: Not Allowed
download_failed	obsidian-vault/paperPDFs/SIGGRAPH_2025/Field_Smoothness_Controlled_Partition_for_Quadrangulation.pdf	https://s2025.conference-schedule.org/presentation/?id=papers_765&sess=sess118	145454238	4051374				https://s2025.conference-schedule.org/presentation/?id=papers_765&sess=sess118: html no direct pdf yet
download_failed	obsidian-vault/paperPDFs/SIGGRAPH_2025/Faraday_Cage_Estimation_of_Normals_for_Point_Clouds_and_Ribbon_Sketches.pdf	https://s2025.conference-schedule.org/presentation/?id=papers_1241&sess=sess104	144626170	1936921				https://s2025.conference-schedule.org/presentation/?id=papers_1241&sess=sess104: html no direct pdf yet
