status	path	source_url	original_logged_bytes	overcompressed_bytes	downloaded_bytes	final_bytes	method	reason
replaced	obsidian-vault/paperPDFs/CVPR_2026/Write_Where_It_Matters_Policy_Guided_Watermarks_for_3D_Gaussian_Splatting.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Li_Write_Where_It_Matters_Policy-Guided_Watermarks_for_3D_Gaussian_Splatting_CVPR_2026_paper.html	24150972	569225	24150972	1347379	gs-600dpi-q95; 1.28MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/HierEdit_Region_Aware_Hierarchical_Diffusion_for_Efficient_High_Resolution_Editing.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_HierEdit_Region-Aware_Hierarchical_Diffusion_for_Efficient_High-Resolution_Editing_CVPR_2026_paper.html	24157106	504053	24157106	4342271	gs-600dpi-q95; 4.14MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/ReCoFuse_Ultra_Robust_Image_Fusion_via_Restorative_Multi_Modal_Diffusion_Reciprocal_Coupling.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_ReCoFuse_Ultra-Robust_Image_Fusion_via_Restorative_Multi-Modal_Diffusion_Reciprocal_Coupling_CVPR_2026_paper.html	23548420	1502303	23548420	3861582	gs-600dpi-q95; 3.68MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Grounded_Latents_for_Entity_Centric_4D_Scene_Generation.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Park_Grounded_Latents_for_Entity-Centric_4D_Scene_Generation_CVPR_2026_paper.html	23476402	1183246	23476402	4900228	gs-450dpi-q95; 4.67MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Learning_Diffeomorphism_for_Medical_Image_Registration_with_Time_Embedded_Architectures_Using_Semigroup_Regularization.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Matinkia_Learning_Diffeomorphism_for_Medical_Image_Registration_with_Time-Embedded_Architectures_Using_CVPR_2026_paper.html	23390735	493208	23390735	2580221	gs-600dpi-q95; 2.46MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Towards_Storytelling_Animations_Joint_Synthesis_of_Human_and_Camera_Motions.pdf	https://openaccess.thecvf.com/content/CVPR2026/papers/Cheng_Towards_Storytelling_Animations_Joint_Synthesis_of_Human_and_Camera_Motions_CVPR_2026_paper.pdf	23066150	1188150	23066150	2806216	gs-600dpi-q95; 2.68MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Otil_Accelerating_Diffusion_Model_Inference_via_Communication_Efficient_Multi_GPU_Parallelism.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Li_Otil_Accelerating_Diffusion_Model_Inference_via_Communication-Efficient_Multi-GPU_Parallelism_CVPR_2026_paper.html	22477806	503752	22477806	2514427	gs-600dpi-q95; 2.40MiB	ok
exception	obsidian-vault/paperPDFs/CVPR_2026/STUR3D_Spatio_Temporal_Unified_Representation_Learning_for_3D_Object_Detection.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Fan_STUR3D_Spatio-Temporal_Unified_Representation_Learning_for_3D_Object_Detection_CVPR_2026_paper.html	23339952	415958				IncompleteRead: IncompleteRead(21758667 bytes read, 1581285 more expected)
exception	obsidian-vault/paperPDFs/CVPR_2026/D_2_FOSA_Dual_Diffusion_Guided_EEG_to_Image_Reconstruction_with_Frequency_Oriented_Semantic_Alignment.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Yu_D2-FOSA_Dual-Diffusion_Guided_EEG-to-Image_Reconstruction_with_Frequency-Oriented_Semantic_Alignment_CVPR_2026_paper.html	22084374	1398200				IncompleteRead: IncompleteRead(22050097 bytes read, 34277 more expected)
replaced	obsidian-vault/paperPDFs/CVPR_2026/MS_2Gait_A_Multi_Scale_Spatio_Temporal_Fusion_Network_for_LiDAR_based_Gait_Recognition.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Xu_MS2Gait_A_Multi-Scale_Spatio-Temporal_Fusion_Network_for_LiDAR-based_Gait_Recognition_CVPR_2026_paper.html	21985046	647867	21985046	4443044	gs-600dpi-q95; 4.24MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Nestwork_Conditional_3D_Furnished_House_Layout_Generation_through_Latent_Heterogeneous_Graph_Diffusion.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Miao_Nestwork_Conditional_3D_Furnished_House_Layout_Generation_through_Latent_Heterogeneous_CVPR_2026_paper.html	21747334	326620	21747334	1034291	gs-600dpi-q95; 0.99MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/A_Provable_Energy_Guided_Test_Time_Defense_Boosting_Adversarial_Robustness_of_Large_Vision_Language_Models.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Mirza_A_Provable_Energy-Guided_Test-Time_Defense_Boosting_Adversarial_Robustness_of_Large_CVPR_2026_paper.html	21147354	632238	21147354	8015903	lossless-qpdf; 7.64MiB	ok
replaced	obsidian-vault/paperPDFs/CVPR_2026/Localizing_Structuring_and_Rendering_Bridging_3D_and_2D_Vision_Language_Action_Models_for_Robotic_Manipulation.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_Localizing_Structuring_and_Rendering_Bridging_3D_and_2D_Vision-Language-Action_Models_CVPR_2026_paper.html	21394306	1781848	21394306	20190580	lossless-qpdf; 19.26MiB	ok
