status	path	source_url	original_logged_bytes	overcompressed_bytes	downloaded_bytes	final_bytes	method	reason
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Volume_Scattering_Probability_Guiding.pdf	https://kehanxuuu.github.io/vspg-website/	100845909	1406716	8067735	8067735	original_under_20MiB	ok
download_failed	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Architectural_Co_LOD_Generation.pdf	https://vcc.tech/research/2024/CoLOD	82134429	2674272				https://vcc.tech/research/2024/CoLOD: html no direct pdf yet
replaced	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/FaceMap_Distortion_Driven_Perceptual_Facial_Saliency_Maps.pdf	https://media.githubusercontent.com/media/facebookresearch/FaceMap/main/paper/FaceMap__Distortion_Driven_Perceptual_Facial_Saliency_Maps.pdf	83482059	991166	83482059	4845619	gs-600dpi-q100; 4.62MiB	ok
exception	obsidian-vault/paperPDFs/SIGGRAPH_2024/Efficient_Position_based_Deformable_Colon_Modeling_for_Endoscopic_Procedures_Simulation.pdf	https://www.inf.ufrgs.br/vislab/sig24/	80943807	639250				InvalidURL: URL can't contain control characters. '/vislab/sig24/Efficient Position-Based Deformable Colon Modeling/paper.pdf' (found at least ' ')
replaced	obsidian-vault/paperPDFs/SGP_2025/The_Affine_Heat_Method.pdf	https://www.yousufsoliman.com/projects/download/AffineHeatMethod.pdf	124024903	2431908	124024903	15418071	gs-600dpi-q100; 14.70MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/PCBend_Light_Up_Your_3D_Shapes_With_Foldable_Circuit_Boards.pdf	https://visualcomputing.ist.ac.at/publications/2023/PLUY3SWFCB/	79687010	1137352	79687010	5729505	gs-600dpi-q100; 5.46MiB	ok
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2022/SPCBPT_Subspace_based_Probabilistic_Connections_for_Bidirectional_Path_Tracing.pdf	https://ssufujia.github.io/SPCBPT/	79417288	1053743	79417288	10511310	gs-600dpi-q100; 10.02MiB	ok
page_mismatch	obsidian-vault/paperPDFs/SIGGRAPH_2023/SpongeCake_A_Layered_Microflake_Surface_Appearance_Model.pdf	https://wangningbei.github.io/2022/SpongeCake.html	79722821	2085323	89429799			current_pages=13; downloaded_pages=17
replaced	obsidian-vault/paperPDFs/SIGGRAPH_2023/MesoGen_Designing_Procedural_On_surface_Stranded_Mesostructures.pdf	https://eliemichel.github.io/MesoGen/	75833750	1791837	75833750	5335749	gs-600dpi-q100; 5.09MiB	ok
