status	setting	original_bytes	new_bytes	original_pages	new_pages	path	detail
replaced	ebook	506809802	3219356	18	18	obsidian-vault/paperPDFs/SIGGRAPH_2024/Progressive_Dynamics_for_Cloth_and_Shell_Animation.pdf	qpdf ok
replaced	ebook	473162475	11469652	13	13	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Detail_Enhanced_Gaussian_Splatting_for_Large_Scale_Volumetric_Capture.pdf	qpdf ok
replaced	ebook	336816158	2540249	19	19	obsidian-vault/paperPDFs/SIGGRAPH_2024/Alignment_Conditions_for_NURBS_based_Design_of_Mixed_Tension_compression_Grid_Shells.pdf	qpdf ok
replaced	ebook	335533056	2489423	21	21	obsidian-vault/paperPDFs/SIGGRAPH_2025/Rectangular_Surface_Parameterization.pdf	qpdf ok
replaced	ebook	318177251	1504920	10	10	obsidian-vault/paperPDFs/SIGGRAPH_2024/Stabler_Neo_Hookean_Simulation_Absolute_Eigenvalue_Filtering_for_Projected_Newton.pdf	qpdf ok
replaced	ebook	303118592	1452511	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Single_Shot_Facial_Capture_using_Polarized_RGB_Sinusoidal_Illumination.pdf	qpdf ok
