venue	paper_title	target_pdf_path	resolved_pdf_url	source_url
SIGGRAPH ASIA 2025	Sums of Wedges: Conforming Weighted Delaunay Triangulations are Polynomial in Fixed Dimension	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Sums_of_Wedges_Conforming_Weighted_Delaunay_Triangulations_are_Polynomial_in_Fixed_Dimension.pdf	https://dl.acm.org/doi/pdf/10.1145/3763368	https://doi.org/10.1145/3763368
SIGGRAPH ASIA 2025	Lifted Surfacing of Generalized Sweep Volumes	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Lifted_Surfacing_of_Generalized_Sweep_Volumes.pdf	https://dl.acm.org/doi/pdf/10.1145/3763360	https://doi.org/10.1145/3763360
SIGGRAPH ASIA 2025	RemixFusion: Residual-based Mixed Representation for Large-scale Online RGB-D Reconstruction	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/RemixFusion_Residual_based_Mixed_Representation_for_Large_scale_Online_RGB_D_Reconstruction.pdf	https://dl.acm.org/doi/pdf/10.1145/3769007	https://doi.org/10.1145/3769007
SIGGRAPH ASIA 2025	Convection Augmented Gauss Reconstruction for Unoriented Point Clouds	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Convection_Augmented_Gauss_Reconstruction_for_Unoriented_Point_Clouds.pdf	https://dl.acm.org/doi/pdf/10.1145/3750723	https://doi.org/10.1145/3750723
SIGGRAPH ASIA 2025	From Rigging to Waving: 3D-Guided Diffusion for Natural Animation of Hand-Drawn Characters	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/From_Rigging_to_Waving_3D_Guided_Diffusion_for_Natural_Animation_of_Hand_Drawn_Characters.pdf	https://dl.acm.org/doi/pdf/10.1145/3763280	https://doi.org/10.1145/3763280
SIGGRAPH ASIA 2025	Evaluating and Sampling Glinty NDFs in Constant Time	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Evaluating_and_Sampling_Glinty_NDFs_in_Constant_Time.pdf	https://dl.acm.org/doi/pdf/10.1145/3763282	https://doi.org/10.1145/3763282
SIGGRAPH ASIA 2025	AnySplat: Feed-forward 3D Gaussian Splatting from Unconstrained Views	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/AnySplat_Feed_forward_3D_Gaussian_Splatting_from_Unconstrained_Views.pdf	https://dl.acm.org/doi/pdf/10.1145/3763326	https://doi.org/10.1145/3763326
SIGGRAPH ASIA 2025	Fovea Stacking: Imaging with Dynamic Localized Aberration Correction	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Fovea_Stacking_Imaging_with_Dynamic_Localized_Aberration_Correction.pdf	https://dl.acm.org/doi/pdf/10.1145/3763278	https://doi.org/10.1145/3763278
SIGGRAPH ASIA 2025	Underwater Optical Backscatter Communications using Acousto-Optic Beam Steering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Underwater_Optical_Backscatter_Communications_using_Acousto_Optic_Beam_Steering.pdf	https://dl.acm.org/doi/pdf/10.1145/3763289	https://doi.org/10.1145/3763289
SIGGRAPH ASIA 2025	Imaginarium: Vision-guided High-Quality 3D Scene Layout Generation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Imaginarium_Vision_guided_High_Quality_3D_Scene_Layout_Generation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763353	https://doi.org/10.1145/3763353
