status	setting	original_bytes	new_bytes	original_pages	new_pages	path	detail
replaced	ebook	62105278	953536	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Virtually_Being_Customizing_Camera_Controllable_Video_Diffusion_Models_with_Volumetric_Performance_Captures.pdf	qpdf ok
replaced	ebook	61411591	1596150	17	17	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Kinetic_Free_Surface_Flows_and_Foams_with_Sharp_Interfaces.pdf	qpdf ok
replaced	ebook	60262886	577097	9	9	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/NeRFFaceEditing_Disentangled_Face_Editing_in_Neural_Radiance_Fields.pdf	qpdf ok
replaced	ebook	64535435	2334664	16	16	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Text2Light_Zero_shot_Text_driven_HDR_Panorama_Generation.pdf	qpdf ok
replaced	ebook	60706989	2485825	16	16	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Scene_aware_Activity_Program_Generation_with_Language_Guidance.pdf	qpdf ok
replaced	ebook	61709425	6109939	23	23	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Numerical_Homogenization_of_Sand_from_Grain_level_Simulations.pdf	qpdf ok
replaced	ebook	60688082	2396308	20	20	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Overlap_Region_Extraction_of_Two_NURBS_Surfaces.pdf	qpdf ok
replaced	ebook	60011966	1221970	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Millimetric_Human_Surface_Capture_in_Minutes.pdf	qpdf ok
replaced	ebook	63253441	2105140	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Imperfect_Image_Space_Control_Variates_for_Monte_Carlo_Rendering.pdf	qpdf ok
replaced	ebook	60227285	1598711	22	22	obsidian-vault/paperPDFs/SIGGRAPH_2022/Alpha_Wrapping_With_an_Offset.pdf	qpdf ok
replaced	ebook	59971918	1048277	10	10	obsidian-vault/paperPDFs/SIGGRAPH_2023/NeRF_Texture_Texture_Synthesis_With_Neural_Radiance_Fields.pdf	qpdf ok
replaced	ebook	59736416	759231	12	12	obsidian-vault/paperPDFs/SIGGRAPH_2022/MatFormer_A_Generative_Model_for_Procedural_Materials.pdf	qpdf ok
replaced	ebook	60032992	1059402	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2023/An_Elastic_Basis_for_Spectral_Shape_Correspondence.pdf	qpdf ok
replaced	ebook	59770723	956945	10	10	obsidian-vault/paperPDFs/SIGGRAPH_2023/Variational_Shape_Reconstruction_via_Quadric_Error_Metrics.pdf	qpdf ok
replaced	ebook	59931554	2755355	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2023/Pyramid_Texture_Filtering.pdf	qpdf ok
replaced	ebook	59667108	797479	12	12	obsidian-vault/paperPDFs/SIGGRAPH_2024/Lite2Relight_3D_aware_Single_Image_Portrait_Relighting.pdf	qpdf ok
kept	none	84712812	0	16		obsidian-vault/paperPDFs/SIGGRAPH_2025/Putting_Rigid_Bodies_to_Rest.pdf	timeout after 300s
replaced	ebook	59363615	2696627	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Conditional_Resampled_Importance_Sampling_and_ReSTIR.pdf	qpdf ok
replaced	ebook	59010103	1017255	14	14	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/NeuVAS_Neural_Implicit_Surfaces_for_Variational_Shape_Modeling.pdf	qpdf ok
replaced	ebook	59343684	992665	15	15	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/MiNNIE_a_Mixed_Multigrid_Method_for_Real_time_Simulation_of_Nonlinear_Near_Incompressible_Elastics.pdf	qpdf ok
replaced	ebook	58883424	1174858	14	14	obsidian-vault/paperPDFs/SIGGRAPH_2024/Implicit_Swept_Volume_SDF_Enabling_Continuous_Collision_free_Trajectory_Generation_for_Arbitrary_Shapes.pdf	qpdf ok
replaced	ebook	59341019	4439758	14	14	obsidian-vault/paperPDFs/SIGGRAPH_2025/High_Fidelity_Novel_View_Synthesis_via_Splatting_Guided_Diffusion.pdf	qpdf ok
replaced	ebook	58527876	726222	18	18	obsidian-vault/paperPDFs/CVPR_2026/Pressure2Motion_Hierarchical_Human_Motion_Reconstruction_from_Ground_Pressure_with_Text_Guidance.pdf	qpdf ok
replaced	ebook	58366094	1278827	21	21	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Viscous_Vortex_Dynamics_on_Surfaces.pdf	qpdf ok
replaced	ebook	57802329	940447	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/3DPR_Single_Image_3D_Portrait_Relighting_with_Generative_Priors.pdf	qpdf ok
replaced	ebook	57789936	1847388	16	16	obsidian-vault/paperPDFs/SIGGRAPH_2022/True_Seams_Modeling_Seams_in_Digital_Garments.pdf	qpdf ok
replaced	ebook	57690003	1377952	16	16	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/UniColor_A_Unified_Framework_for_Multi_Modal_Colorization_with_Transformer.pdf	qpdf ok
replaced	ebook	58641800	2729793	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2024/Neural_Gaussian_Scale_space_Fields.pdf	qpdf ok
replaced	ebook	57598677	1124330	17	17	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/CFC_Simulating_Character_Fluid_Coupling_using_a_Two_Level_World_Model.pdf	qpdf ok
replaced	ebook	57582408	1312058	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2025/Multi_Dimensional_Procedural_Wave_Noise.pdf	qpdf ok
replaced	ebook	57326201	1247225	15	15	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/FLARE_Fast_Learning_of_Animatable_and_Relightable_Mesh_Avatars.pdf	qpdf ok
kept	none	64628713	0	15		obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/BSP_OT_Sparse_transport_plans_between_discrete_measures_in_loglinear_time.pdf	size=22708525; pages=15; qpdf=True; checking obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/BSP_OT_Sparse_transport_plans_between_discrete_measures_in_loglinear_time.pdf.tmp-screen.1148800.pdf PDF Version: 1.4 File is not encrypted File is not linearized No syntax or stream encoding errors found; the file may still contain errors that qpdf cannot detect 
replaced	ebook	57120094	1928952	19	19	obsidian-vault/paperPDFs/SIGGRAPH_2023/Procedural_Metamaterials_A_Unified_Procedural_Graph_for_Metamaterial_Design.pdf	qpdf ok
replaced	ebook	57095114	1217279	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2023/Example_based_Procedural_Modeling_Using_Graph_Grammars.pdf	qpdf ok
replaced	ebook	57696554	1696008	19	19	obsidian-vault/paperPDFs/SIGGRAPH_2025/C_Tubes_Design_and_Optimization_of_Tubular_Structures_Composed_of_Developable_Strips.pdf	qpdf ok
replaced	ebook	57429398	3026834	18	18	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Thin_On_Sensor_Nanophotonic_Array_Cameras.pdf	qpdf ok
replaced	ebook	56850203	713016	11	11	obsidian-vault/paperPDFs/SIGGRAPH_2024/Soft_Pneumatic_Actuator_Design_Using_Differentiable_Simulation.pdf	qpdf ok
replaced	ebook	58383664	3006113	26	26	obsidian-vault/paperPDFs/SIGGRAPH_2025/A_Closest_Point_Method_for_PDEs_on_Manifolds_with_Interior_Boundary_Conditions_for_Geometry_Processing.pdf	qpdf ok
kept	none	80679367	0	12		obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Neural_Octahedral_Field_Octahedral_Prior_for_Simultaneous_Smoothing_and_Sharp_Edge_Regularization.pdf	timeout after 300s
replaced	ebook	57084156	1719546	24	24	obsidian-vault/paperPDFs/SIGGRAPH_2023/Fluid_Cohomology.pdf	qpdf ok
replaced	ebook	57167674	2206487	10	10	obsidian-vault/paperPDFs/SIGGRAPH_2022/Position_free_Multiple_bounce_Computations_for_Smith_Microfacet_BSDFs.pdf	qpdf ok
replaced	ebook	56345340	742224	13	13	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/QuadStream_A_Quad_Based_Scene_Streaming_Architecture_for_Novel_Viewpoint_Reconstruction.pdf	qpdf ok
replaced	ebook	56626644	1284089	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Evaluating_and_Sampling_Glinty_NDFs_in_Constant_Time.pdf	qpdf ok
replaced	ebook	56331389	917073	15	15	obsidian-vault/paperPDFs/SIGGRAPH_2023/A_Method_for_Animating_Children_s_Drawings_of_the_Human_Figure.pdf	qpdf ok
replaced	ebook	56531411	1028426	25	25	obsidian-vault/paperPDFs/SIGGRAPH_2023/Min_Deviation_Flow_in_Bi_directed_Graphs_for_T_Mesh_Quantization.pdf	qpdf ok
replaced	ebook	56111400	536344	10	10	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/RaRa_Clipper_A_Clipper_for_Gaussian_Splatting_Based_on_Ray_Tracer_and_Rasterizer.pdf	qpdf ok
replaced	ebook	56236862	2344222	17	17	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Barrier_Augmented_Lagrangian_for_GPU_based_Elastodynamic_Contact.pdf	qpdf ok
replaced	ebook	56764572	937796	16	16	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/A_Flexible_Mold_for_Facade_Panel_Fabrication.pdf	qpdf ok
replaced	ebook	58623588	1857316	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Closed_form_Cauchy_Coordinates_and_Their_Derivatives_for_2D_High_order_Cages.pdf	qpdf ok
replaced	ebook	55824821	1485795	20	20	obsidian-vault/paperPDFs/SIGGRAPH_2025/Progressive_Dynamics_A_Framework_for_Stable_Continuous_and_Consistent_Animation_Across_Resolution_and_Time.pdf	qpdf ok
replaced	ebook	56354848	1219123	12	12	obsidian-vault/paperPDFs/SIGGRAPH_2025/Clebsch_Gauge_Fluid_on_Particle_Flow_Maps.pdf	qpdf ok
replaced	ebook	55153259	981385	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Chord_Chain_of_Rendering_Decomposition_for_PBR_Material_Estimation_from_Generated_Texture_Images.pdf	qpdf ok
replaced	ebook	58054623	3047694	31	31	obsidian-vault/paperPDFs/CVPR_2026/UnicEdit_10M_A_Dataset_and_Benchmark_Breaking_the_Scale_Quality_Barrier_via_Unified_Verification_for_Reasoning_Enriched_Edits.pdf	qpdf ok
replaced	ebook	58024642	1519024	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Interaction_Driven_Active_3D_Reconstruction_with_Object_Interiors.pdf	qpdf ok
replaced	ebook	55016549	754901	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Towards_Practical_Capture_of_High_Fidelity_Relightable_Avatars.pdf	qpdf ok
replaced	ebook	55651449	1534543	27	27	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Capturing_Animation_Ready_Isotropic_Materials_Using_Systematic_Poking.pdf	qpdf ok
replaced	ebook	55245749	706755	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Audio_Driven_Universal_Gaussian_Head_Avatars.pdf	qpdf ok
replaced	ebook	54690592	849764	16	16	obsidian-vault/paperPDFs/SIGGRAPH_2025/TeGA_Texture_Space_Gaussian_Avatars_for_High_Resolution_Dynamic_Head_Modeling.pdf	qpdf ok
replaced	ebook	54830576	5945583	20	20	obsidian-vault/paperPDFs/SIGGRAPH_2026/Bringing_Diversity_from_Diffusion_Models_to_Semantic_Guided_Face_Asset_Generation.pdf	qpdf ok
replaced	ebook	61263792	2685933	25	25	obsidian-vault/paperPDFs/CVPR_2026/VerseCrafter_Dynamic_Realistic_Video_World_Model_with_4D_Geometric_Control.pdf	qpdf ok
replaced	ebook	54357172	703011	12	12	obsidian-vault/paperPDFs/SIGGRAPH_2023/Beyond_Chainmail_Computational_Modeling_of_Discrete_Interlocking_Materials.pdf	qpdf ok
replaced	ebook	54349365	1088028	13	13	obsidian-vault/paperPDFs/SIGGRAPH_2024/Computational_Illusion_Knitting.pdf	qpdf ok
replaced	ebook	54943888	2204039	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2026/ShapeUP_Scalable_Image_Conditioned_3D_Editing.pdf	qpdf ok
replaced	ebook	57049395	2264075	16	16	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Computational_Design_of_a_Kit_of_Parts_for_Bending_Active_Structures.pdf	qpdf ok
kept	none	77573126	0	16		obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/MVImgNet2_0_A_Larger_scale_Dataset_of_Multi_view_Images.pdf	timeout after 300s
replaced	ebook	54239283	584462	10	10	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Hodge_decomposition_of_vector_fields_in_Cartesian_grids.pdf	qpdf ok
replaced	ebook	53842675	1037634	11	11	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/NeLiF_Neural_Lighting_Function_Generation_for_Real_Time_Indoor_Rendering.pdf	qpdf ok
replaced	ebook	54260855	1520581	18	18	obsidian-vault/paperPDFs/SIGGRAPH_2022/ComplexGen_CAD_Reconstruction_by_B_rep_Chain_Complex_Generation.pdf	qpdf ok
