workflow_id,root_id,subtopic_id,subtopic_label,paper_count,manifest_path
workflow_01,vision_multimodal_applications,vision_models_multimodal,Vision Models & Multimodal,25,_private/topic_priority/subtopic_batches/batches/iclr26_vision_multimodal_applications__vision_models_multimodal__b001.jsonl
workflow_02,vision_multimodal_applications,language_speech_and_dialog,"Language, Speech and Dialog",25,_private/topic_priority/subtopic_batches/batches/iclr26_vision_multimodal_applications__language_speech_and_dialog__b001.jsonl
workflow_03,generative_models_diffusion,generative_models_and_autoencoders,Generative Models and Autoencoders,25,_private/topic_priority/subtopic_batches/batches/iclr26_generative_models_diffusion__generative_models_and_autoencoders__b001.jsonl
workflow_04,vision_multimodal_applications,image_and_video_generation,Image and Video Generation,25,_private/topic_priority/subtopic_batches/batches/iclr26_vision_multimodal_applications__image_and_video_generation__b001.jsonl
workflow_05,representation_self_supervised_transfer,representation_learning,Representation Learning,25,_private/topic_priority/subtopic_batches/batches/iclr26_representation_self_supervised_transfer__representation_learning__b001.jsonl
workflow_06,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b001.jsonl
