index,sample_id,year,video_prefix,prefix_no_subclip,prefix_no_variant,valid_frames,z_max_abs,z_sq_mean,z_human_max_abs,z_human_sq_mean,z_camera_max_abs,z_camera_sq_mean,loss_camera,loss_human,loss_joint,loss_mean_across_tasks
9200,2019_4RBnTZELQX8_00006_000_a,2019,2019_4RBnTZELQX8,2019_4RBnTZELQX8_00006,2019_4RBnTZELQX8_00006_000,56,15.3671875,1.9006305932998657,15.3671875,2.4771904945373535,5.1953125,0.7475103735923767,0.020343923941254616,0.019289463758468628,0.08848641067743301,0.042706599459052086
7045,2017_GGVL7N6Wz8I_00011_000_a,2017,2017_GGVL7N6Wz8I,2017_GGVL7N6Wz8I_00011,2017_GGVL7N6Wz8I_00011_000,13,14.9765625,0.8456673622131348,14.9765625,1.1751444339752197,6.55859375,0.18671360611915588,0.00822921097278595,0.017564136534929276,0.06502918154001236,0.030274176349242527
6148,2016_lRAsSTNZD8g_00033_000_a,2016,2016_lRAsSTNZD8g,2016_lRAsSTNZD8g_00033,2016_lRAsSTNZD8g_00033_000,36,14.703125,2.775101661682129,14.703125,2.952540159225464,10.0703125,2.420224905014038,0.0192558616399765,0.03354280814528465,1.7076550722122192,0.5868179139991602
230,2011_9FLLYpUnuwQ_00024_000_a,2011,2011_9FLLYpUnuwQ,2011_9FLLYpUnuwQ_00024,2011_9FLLYpUnuwQ_00024_000,18,14.640625,0.7704771757125854,14.640625,1.0530753135681152,3.43359375,0.20528090000152588,0.008578270673751831,0.008292492479085922,0.03879041597247124,0.018553726375102997
4940,2015_qs0Fyp2bqsA_00007_000_a,2015,2015_qs0Fyp2bqsA,2015_qs0Fyp2bqsA_00007,2015_qs0Fyp2bqsA_00007_000,31,14.6171875,0.8768182992935181,14.6171875,1.167741298675537,3.6796875,0.29497238993644714,0.006626849994063377,0.0160717461258173,0.03495310992002487,0.01921723534663518
5676,2016_O2RUT5J7T4E_00012_000_a,2016,2016_O2RUT5J7T4E,2016_O2RUT5J7T4E_00012,2016_O2RUT5J7T4E_00012_000,32,14.5625,1.1966995000839233,14.5625,1.4478156566619873,6.29296875,0.694466769695282,0.026661505922675133,0.025278545916080475,0.02119850553572178,0.024379519124825794
5341,2016_727NnSLXsxc_00012_000_a,2016,2016_727NnSLXsxc,2016_727NnSLXsxc_00012,2016_727NnSLXsxc_00012_000,15,14.4453125,0.804877519607544,14.4453125,1.0664693117141724,5.0234375,0.281693696975708,0.019937431439757347,0.02984621189534664,0.1682012975215912,0.07266164695223172
7373,2017_RDBywHkU6Wg_00052_001_a,2017,2017_RDBywHkU6Wg,2017_RDBywHkU6Wg_00052,2017_RDBywHkU6Wg_00052_001,44,14.1953125,1.2920465469360352,14.1953125,1.6912810802459717,6.109375,0.4935770630836487,0.008202777244150639,0.008620859123766422,0.1456722915172577,0.05416530929505825
3167,2014_ACdEiMqOVvs_00035_000_a,2014,2014_ACdEiMqOVvs,2014_ACdEiMqOVvs_00035,2014_ACdEiMqOVvs_00035_000,11,13.9609375,0.7482579350471497,13.9609375,1.0414683818817139,3.76953125,0.1618371158838272,0.010937714949250221,0.029559487476944923,0.12587645649909973,0.055457886308431625
6414,2016_yYhuz0q21_4_00013_000_a,2016,2016_yYhuz0q21_4,2016_yYhuz0q21_4_00013,2016_yYhuz0q21_4_00013_000,23,13.859375,0.7998973727226257,13.859375,0.9495753049850464,7.5078125,0.5005417466163635,0.0069748954847455025,0.01385880820453167,0.0862031802535057,0.03567896131426096
