model,metric,n_success,n_failure,mean_success,mean_failure,cohen_d_success_minus_failure,mannwhitney_p,welch_p,levene_p,var_success,var_failure,holm_p_16,fdr_bh_p_16,sig_holm_0_05
MoGenTS,metric_value,79,21,1.1905354932996253,1.2216157252670494,-0.08426867564088052,0.21979054090108774,0.6284571230407028,0.05169406172145681,0.1598060793318452,0.043305543143760616,1.0,0.39073873937971154,False
MoGenTS,delta_abs_max,79,21,67.05845994587186,73.38517470586868,-0.38094486996703036,0.05059796930285643,0.11504542080249952,0.7424221307848037,283.5640461547184,245.63843675322408,0.5607795557276296,0.13492791814095048,False
MoGenTS,delta_std,79,21,14.622024958646751,15.666086423964728,-0.2970571833962783,0.49304408993461124,0.3106910882133777,0.3696396330685112,10.759182090307073,18.568830565060665,1.0,0.6068234953041369,False
MoGenTS,delta_mean,79,21,-1.3567172629357893,1.453167309363683,-0.6052965801154617,0.04673162964396914,0.03708989986382136,0.19182971742944857,19.552541970575923,29.338443850975654,0.5607795557276296,0.13492791814095048,False
MoLingo,metric_value,88,12,1.1095416095574548,1.2164571371244977,-0.9005795459996864,0.0020604913490823236,3.0092203821697894e-06,0.00993816576325986,0.015576693944517137,0.0023681470499471663,0.03296786158531718,0.03296786158531718,True
MoLingo,delta_abs_max,88,12,4.282710178331896,4.898814797401428,-0.9427836344473519,0.005363145605429279,0.00552128439289433,0.593078861044069,0.43392840819591805,0.3727017743922726,0.0804471840814392,0.042905164843434235,False
MoLingo,delta_std,88,12,0.940251750363545,1.0933551341295242,-0.5311320018394604,0.08476942715323797,0.06784897390545094,0.058832209023726365,0.08584695010962996,0.06131210019456815,0.8476942715323798,0.1937586906359725,False
MoLingo,delta_mean,88,12,1.686084051367619e-06,0.00011908270509290257,-0.7555700995393724,0.01074096205923667,0.06294154784265148,0.4017779181289811,2.2532687983845782e-08,3.686446129867336e-08,0.14499367157890353,0.04296384823694668,False
MoMask original,metric_value,77,23,1.1458686372105282,1.2293875707293602,-0.4872498845638048,0.13820319359288918,0.0793365258731357,0.2192542576065275,0.02603198104363777,0.04095028309602179,1.0,0.27640638718577837,False
MoMask original,delta_abs_max,77,23,48.72257995605469,48.6208844392196,0.013934707010234153,0.8698776781967065,0.942906048313954,0.17431947250170313,60.62139587606438,27.833421787494846,1.0,0.9278695234098202,False
MoMask original,delta_std,77,23,12.599810606473453,12.465828563856041,0.08367813435194588,0.9803962899721933,0.7181618113873367,0.8280215037971336,2.6292062307569943,2.3374585515668844,1.0,0.9803962899721933,False
MoMask original,delta_mean,77,23,0.47704103968844014,3.6745154650314995,-0.6646855952255972,0.010356690827064538,0.019938766675267974,0.1446622500810961,20.311846830151715,32.91432016240224,0.14499367157890353,0.04296384823694668,False
MotionGPT,metric_value,86,14,0.661521881809194,0.6987824058880238,-0.16014308904018904,0.36337895780578955,0.5632744591809655,0.9745786015360197,0.05521079454681881,0.04710412927850828,1.0,0.4915286773276743,False
MotionGPT,delta_abs_max,86,14,59.519352890724356,65.36162839617047,-0.2340794855373458,0.35298598590235253,0.41881431987650186,0.8167274456339333,627.1400713281724,595.3821865737318,1.0,0.4915286773276743,False
MotionGPT,delta_std,86,14,20.3377463983935,21.602852174213954,-0.16063939231439128,0.3686465079957557,0.580899009418365,0.9461076365654734,62.22450154043902,60.702048082243465,1.0,0.4915286773276743,False
MotionGPT,delta_mean,86,14,-2.247381205627218,-3.31517151423863,0.11341867421252912,0.6370289397570633,0.6953784565277071,0.8172846325833598,88.9966080885977,86.26689757288271,1.0,0.7280330740080724,False
