source_index,title,publication,paper,project,code,dataset,model,demo,resource_type,appended
217,FB-OCC: 3D Occupancy Prediction based on Forward-Backward View Transformation,ICCV 2023,https://arxiv.org/abs/2307.01492,,https://github.com/NVlabs/FB-BEV,,,,paper,yes
218,VoxFormer: Sparse Voxel Transformer for Camera-based 3D Semantic Scene Completion,CVPR 2023,https://arxiv.org/abs/2302.12251,,https://github.com/NVlabs/VoxFormer,,,,paper,yes
219,Align your Latents: High-Resolution Video Synthesis with Latent Diffusion Models,CVPR 2023,https://arxiv.org/abs/2304.08818,https://research.nvidia.com/labs/toronto-ai/VideoLDM/,,,,,paper,yes
220,Fast Monocular Scene Reconstruction with Global-Sparse Local-Dense Grids,CVPR 2023,https://arxiv.org/abs/2305.13220,https://dongwei.info/publication/ash-mono/,https://github.com/theNded/torch-ash,,,,paper,yes
221,NeuralField-LDM: Scene Generation with Hierarchical Latent Diffusion Models,CVPR 2023,https://arxiv.org/abs/2304.09787,https://research.nvidia.com/labs/toronto-ai/NFLDM/,,,,,paper,yes
222,Trace and Pace: Controllable Pedestrian Animation via Guided Trajectory Diffusion,CVPR 2023,https://arxiv.org/abs/2304.01893,https://research.nvidia.com/labs/toronto-ai/trace-pace/,https://github.com/nv-tlabs/trace,,,,paper,yes
223,Neural Kernel Surface Reconstruction,CVPR 2023,https://arxiv.org/abs/2305.19590,https://research.nvidia.com/labs/toronto-ai/NKSR/,https://github.com/nv-tlabs/NKSR,,https://huggingface.co/heiwang1997/nksr-checkpoints,,paper,yes
224,Neural Fields meet Explicit Geometric Representations for Inverse Rendering of Urban Scenes,CVPR 2023,https://arxiv.org/abs/2304.03266,https://research.nvidia.com/labs/toronto-ai/fegr/,,,,,paper,yes
225,Magic3D: High-Resolution Text-to-3D Content Creation,CVPR 2023,https://arxiv.org/abs/2211.10440,https://research.nvidia.com/labs/dir/magic3d,,,,,paper,yes
226,Unifying Short and Long-Term Tracking with Graph Hierarchies,CVPR 2023,https://arxiv.org/abs/2212.03038,,https://github.com/dvl-tum/SUSHI,,,,paper,yes
227,GHOST: Simple Cues Lead to a Strong Multi-Object Tracker,CVPR 2023,https://arxiv.org/abs/2206.04656,,https://github.com/dvl-tum/GHOST,,,,paper,yes
228,G-MSM: Unsupervised Multi-Shape Matching with Graph-based Affinity Priors,CVPR 2023,https://arxiv.org/abs/2212.02910,,https://github.com/marvin-eisenberger/gmsm-matching,,,,paper,yes
229,Novel Class Discovery for 3D Point Cloud Semantic Segmentation,CVPR 2023,https://arxiv.org/abs/2303.11610,,https://github.com/LuigiRiz/NOPS,,,,paper,yes
230,Walking your lidog: A journey through multiple domains for lidar semantic segmentation,ICCV 2023,https://arxiv.org/abs/2304.11705,https://saltoricristiano.github.io/lidog/,https://github.com/saltoricristiano/lidog,,,,paper,yes
231,Overlap-guided gaussian mixture models for point cloud registration,WACV 2023,https://arxiv.org/abs/2210.09836,,https://github.com/gfmei/ogmm,,,,paper,yes
232,Compositional semantic mix for domain adaptation in point cloud segmentation,TPAMI 2023,https://arxiv.org/abs/2308.14619,,https://github.com/saltoricristiano/cosmix-uda,,,,paper,yes
233,Spacetime Representation Learning,ICLR 2023,https://research.nvidia.com/labs/toronto-ai/spacetime/spacetime_representation_learning.pdf,,,,,,paper,yes
234,Mask3D: Mask Transformer for 3D Instance Segmentation,ICRA 2023,https://arxiv.org/abs/2210.03105,https://jonasschult.github.io/Mask3D/,https://github.com/JonasSchult/Mask3D,,,,paper,yes
235,Neural Brushstroke Engine: Learning a Latent Style Space of Interactive Drawing Tools,SIGGRAPH Asia 2022,https://drive.google.com/file/d/1RNFgMXEp85MGlV6w99JC_MBBg45TFgzI/view,https://research.nvidia.com/labs/toronto-ai/brushstroke_engine/,https://github.com/nv-tlabs/brushstroke_engine,,,,paper,yes
236,LION: Latent Point Diffusion Models for 3D Shape Generation,NeurIPS 2022,https://arxiv.org/abs/2210.06978,https://research.nvidia.com/labs/toronto-ai/LION/,https://github.com/nv-tlabs/LION,,,,paper,yes
237,GET3D: A Generative Model of High Quality 3D Textured Shapes Learned from Images,NeurIPS 2022,https://arxiv.org/abs/2209.11163,https://research.nvidia.com/labs/toronto-ai/GET3D/,https://github.com/nv-tlabs/GET3D,,,,paper,yes
238,Optimizing Data Collection for Machine Learning,NeurIPS 2022,https://arxiv.org/abs/2210.01234,https://research.nvidia.com/labs/toronto-ai/LearnOptimizeCollect/,,,,,paper,yes
239,GENIE: Higher-Order Denoising Diffusion Solvers,NeurIPS 2022,https://arxiv.org/abs/2210.05475,https://research.nvidia.com/labs/toronto-ai/GENIE/,https://github.com/nv-tlabs/GENIE,,,,paper,yes
240,Quo Vadis: Is Trajectory Forecasting the Key Towards Long-Term Multi-Object Tracking?,NeurIPS 2022,https://arxiv.org/abs/2210.07681,,https://github.com/dendorferpatrick/QuoVadis,,,,paper,yes
241,Learning to Discover and Detect Objects,NeurIPS 2022,https://arxiv.org/abs/2210.10774,,https://github.com/vlfom/RNCDL,,,,paper,yes
242,Structural Pruning via Latency-Saliency Knapsack,NeurIPS 2022,https://arxiv.org/abs/2210.06659,https://halp-neurips.github.io/,https://github.com/NVlabs/HALP,,,,paper,yes
243,Multi-Object Tracking and Segmentation Via Neural Message Passing,IJCV 2022,https://arxiv.org/abs/2207.07454,,https://github.com/ocetintas/MPNTrackSeg,,,,paper,yes
244,PolarMOT: How far can geometric relations take us in 3D multi-object tracking?,ECCV 2022,https://arxiv.org/abs/2208.01957,,https://github.com/aleksandrkim61/PolarMOT,,,,paper,yes
245,DirectTracker: 3D Multi-Object Tracking Using Direct Image Alignment and Photometric Bundle Adjustment,IROS 2022,https://arxiv.org/abs/2209.14965,https://cvg.cit.tum.de/research/vslam/directtracker,,,,,paper,yes
246,TrackFormer: Multi-Object Tracking with Transformers,CVPR 2022,https://arxiv.org/abs/2101.02702,,https://github.com/timmeinhardt/trackformer,,,,paper,yes
247,Not All Labels Are Equal: Rationalizing The Labeling Costs for Training Object Detection,CVPR 2022,https://arxiv.org/abs/2106.11921,,https://github.com/NVlabs/AL-SSL,,,,paper,yes
