state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path,analysis_path
checked,,ACCORD: Alleviating Concept Coupling through Dependence Regularization for Text-to-Image Diffusion Personalization,ICLR 2026,,https://openreview.net/forum?id=CKYsYlRdCM,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ACCORD_Alleviating_Concept_Coupling_through_Dependence_Regularization_for_Text-to-Image_Diffusion_Personalization.pdf,obsidian-vault/analysis/ICLR_2026/ACCORD_Alleviating_Concept_Coupling_through_Dependence_Regularization_for_Text-to-Image_Diffusion_Personalization.md
checked,,ACE: Attribution-Controlled Knowledge Editing for Multi-hop Factual Recall,ICLR 2026,,https://openreview.net/forum?id=IuWIzmMvKo,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ACE_Attribution-Controlled_Knowledge_Editing_for_Multi-hop_Factual_Recall.pdf,obsidian-vault/analysis/ICLR_2026/ACE_Attribution-Controlled_Knowledge_Editing_for_Multi-hop_Factual_Recall.md
checked,,"ACPBench Hard: Unrestrained Reasoning about Action, Change, and Planning",ICLR 2026,,https://openreview.net/forum?id=WIXohR7mEo,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ACPBench_Hard_Unrestrained_Reasoning_about_Action_Change_and_Planning.pdf,obsidian-vault/analysis/ICLR_2026/ACPBench_Hard_Unrestrained_Reasoning_about_Action_Change_and_Planning.md
checked,,ADEPT: Continual Pretraining via Adaptive Expansion and Dynamic Decoupled Tuning,ICLR 2026,,https://openreview.net/forum?id=vcWDDfA4Ev,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ADEPT_Continual_Pretraining_via_Adaptive_Expansion_and_Dynamic_Decoupled_Tuning.pdf,obsidian-vault/analysis/ICLR_2026/ADEPT_Continual_Pretraining_via_Adaptive_Expansion_and_Dynamic_Decoupled_Tuning.md
checked,,AMPED: Adaptive Multi-objective Projection for balancing Exploration and skill Diversification,ICLR 2026,,https://openreview.net/forum?id=U8A5nGuw7M,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/AMPED_Adaptive_Multi-objective_Projection_for_balancing_Exploration_and_skill_Diversification.pdf,obsidian-vault/analysis/ICLR_2026/AMPED_Adaptive_Multi-objective_Projection_for_balancing_Exploration_and_skill_Diversification.md
checked,,AMemGym: Interactive Memory Benchmarking for Assistants in Long-Horizon Conversations,ICLR 2026,,https://openreview.net/forum?id=sfrVLzsmlf,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/AMemGym_Interactive_Memory_Benchmarking_for_Assistants_in_Long-Horizon_Conversations.pdf,obsidian-vault/analysis/ICLR_2026/AMemGym_Interactive_Memory_Benchmarking_for_Assistants_in_Long-Horizon_Conversations.md
checked,,APPLE: Toward General Active Perception via Reinforcement Learning,ICLR 2026,,https://openreview.net/forum?id=hU2gT2Ucua,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/APPLE_Toward_General_Active_Perception_via_Reinforcement_Learning.pdf,obsidian-vault/analysis/ICLR_2026/APPLE_Toward_General_Active_Perception_via_Reinforcement_Learning.md
checked,,AQuA: Toward Strategic Response Generation for Ambiguous Visual Questions,ICLR 2026,,https://openreview.net/forum?id=7b1MpD6IF8,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/AQuA_Toward_Strategic_Response_Generation_for_Ambiguous_Visual_Questions.pdf,obsidian-vault/analysis/ICLR_2026/AQuA_Toward_Strategic_Response_Generation_for_Ambiguous_Visual_Questions.md
checked,,ARES: Multimodal Adaptive Reasoning via Difficulty-Aware Token-Level Entropy Shaping,ICLR 2026,,https://openreview.net/forum?id=2g945Ngc7l,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ARES_Multimodal_Adaptive_Reasoning_via_Difficulty-Aware_Token-Level_Entropy_Shaping.pdf,obsidian-vault/analysis/ICLR_2026/ARES_Multimodal_Adaptive_Reasoning_via_Difficulty-Aware_Token-Level_Entropy_Shaping.md
checked,,ARFlow: Auto-regressive Optical Flow Estimation for Arbitrary-Length Videos via Progressive Next-Frame Forecasting,ICLR 2026,,https://openreview.net/forum?id=iJ7cyttpVj,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ARFlow_Auto-regressive_Optical_Flow_Estimation_for_Arbitrary-Length_Videos_via_Progressive_Next-Frame_Forecasting.pdf,obsidian-vault/analysis/ICLR_2026/ARFlow_Auto-regressive_Optical_Flow_Estimation_for_Arbitrary-Length_Videos_via_Progressive_Next-Frame_Forecasting.md
checked,,ARM-FM: Automated Reward Machines via Foundation Models for Compositional Reinforcement Learning,ICLR 2026,,https://openreview.net/forum?id=OBpQdCWLfd,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ARM-FM_Automated_Reward_Machines_via_Foundation_Models_for_Compositional_Reinforcement_Learning.pdf,obsidian-vault/analysis/ICLR_2026/ARM-FM_Automated_Reward_Machines_via_Foundation_Models_for_Compositional_Reinforcement_Learning.md
checked,,"ATLAS: Adaptive Transfer Scaling Laws for Multilingual Pretraining, Finetuning, and Decoding the Curse of Multilinguality",ICLR 2026,,https://openreview.net/forum?id=0BkvUY61MX,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ATLAS_Adaptive_Transfer_Scaling_Laws_for_Multilingual_Pretraining_Finetuning_and_Decoding_the_Curse_of_Multilinguality.pdf,obsidian-vault/analysis/ICLR_2026/ATLAS_Adaptive_Transfer_Scaling_Laws_for_Multilingual_Pretraining_Finetuning_and_Decoding_the_Curse_of_Multilinguality.md
checked,,ATLAS: Constraints-Aware Multi-Agent Collaboration for Real-World Travel Planning,ICLR 2026,,https://openreview.net/forum?id=mIYGiBf9Pm,ICLR 2026,obsidian-vault/paperPDFs/ICLR_2026/ATLAS_Constraints-Aware_Multi-Agent_Collaboration_for_Real-World_Travel_Planning.pdf,obsidian-vault/analysis/ICLR_2026/ATLAS_Constraints-Aware_Multi-Agent_Collaboration_for_Real-World_Travel_Planning.md
