run_id,source_repo,started_at,finished_at,base_commit,new_commit,parser_version,status,added_count,removed_count,changed_count,rescan_required,notes
20260414T002855_chenhsing__awesome-video-diffusion-models,chenhsing__awesome-video-diffusion-models,2026-04-14T00:28:26+08:00,2026-04-14T00:28:55+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,197,0,2,false,tracked_rows=197;non_paper_rows=1;downloaded_now=2;reused_existing=0;failed=0
20260414T002855_weitianxin__awesome-agentic-reasoning,weitianxin__awesome-agentic-reasoning,2026-04-14T00:28:26+08:00,2026-04-14T00:28:55+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,650,0,8,false,tracked_rows=656;non_paper_rows=2;downloaded_now=2;reused_existing=0;failed=0
20260414T003117_chenhsing__awesome-video-diffusion-models,chenhsing__awesome-video-diffusion-models,2026-04-14T00:31:05+08:00,2026-04-14T00:31:17+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,0,0,1,false,tracked_rows=197;non_paper_rows=1;downloaded_now=1;reused_existing=0;failed=0
20260414T003117_weitianxin__awesome-agentic-reasoning,weitianxin__awesome-agentic-reasoning,2026-04-14T00:31:05+08:00,2026-04-14T00:31:17+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,0,0,1,false,tracked_rows=656;non_paper_rows=2;downloaded_now=1;reused_existing=0;failed=0
20260422T214150_foruck__awesome-human-motion,foruck__awesome-human-motion,2026-04-22T21:41:50+08:00,2026-04-22T21:41:50+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,100,0,5,false,tracked_rows=100;non_paper_rows=0;downloaded_now=0;reused_existing=5;failed=0
20260422T215246_foruck__awesome-human-motion,foruck__awesome-human-motion,2026-04-22T21:41:59+08:00,2026-04-22T21:52:46+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,0,0,73,false,tracked_rows=100;non_paper_rows=0;downloaded_now=73;reused_existing=0;failed=22
20260422T215611_foruck__awesome-human-motion,foruck__awesome-human-motion,2026-04-22T21:54:14+08:00,2026-04-22T21:56:11+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,0,0,0,false,tracked_rows=100;non_paper_rows=0;downloaded_now=0;reused_existing=0;failed=22
20260422T220147_foruck__awesome-human-motion,foruck__awesome-human-motion,2026-04-22T22:00:52+08:00,2026-04-22T22:01:47+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,0,0,0,false,tracked_rows=100;non_paper_rows=0;downloaded_now=0;reused_existing=0;failed=1
20260422T223015_foruck__awesome-human-motion,foruck__awesome-human-motion,2026-04-22T22:30:10+08:00,2026-04-22T22:30:15+08:00,collect_log:auto,collect_log:auto,paperbite_sync_download_v1:1,completed,0,0,1,false,tracked_rows=100;non_paper_rows=0;downloaded_now=0;reused_existing=1;failed=0
